Nasdaq Traded,Symbol,Company Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Symbol_Clean,Sector,source,confidence
Y,REED,"Reeds, Inc. - Common Stock",Q,S,N,100.0,N,N,,REED,N,REED,Consumer Staples,Wikipedia-High,55.0
Y,REFR,Research Frontiers Incorporated - Common Stock,Q,S,N,100.0,N,N,,REFR,N,REFR,Miscellaneous,Nasdaq,100.0
Y,REG,Regency Centers Corporation - Common Stock,Q,Q,N,100.0,N,N,,REG,N,REG,Real Estate,Nasdaq,100.0
Y,REGI,"Renewable Energy Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,REGI,N,REGI,Energy,Name-Match,120.0
Y,REGN,"Regeneron Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,REGN,N,REGN,Health Care,Nasdaq,100.0
Y,REI,"Ring Energy, Inc. Common Stock",A, ,N,100.0,N,,REI,REI,N,REI,Energy,Nasdaq,100.0
Y,REKR,"Rekor Systems, Inc. - Common Stock",Q,S,N,100.0,N,N,,REKR,N,REKR,Telecommunications,Nasdaq,100.0
Y,RELL,"Richardson Electronics, Ltd. - Common Stock",Q,Q,N,100.0,N,N,,RELL,N,RELL,Technology,Nasdaq,100.0
Y,RELV,"Reliv' International, Inc. - Common Stock",Q,S,N,100.0,N,N,,RELV,N,RELV,Healthcare,AnnualReports-Success,72.0
Y,RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),N, ,N,100.0,N,,RELX,RELX,N,RELX,Real Estate,Nasdaq,100.0
Y,RENN,"Renren Inc. American Depositary Shares, each representing fifteen Class A ordinary shares",N, ,N,100.0,N,,RENN,RENN,N,RENN,Materials,AnnualReports-Success,21.0
Y,REPH,"Recro Pharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,REPH,N,REPH,Healthcare,Name-Match,60.0
Y,REPL,"Replimune Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,REPL,N,REPL,Health Care,Nasdaq,100.0
